,RMSE,MAE,R2,MAPE,CVRMSE
VNM_LinearRegression,829.2046426926236,590.2938104630431,0.9686360276350938,0.8747807864061756,1.2423458952747741
VIC_LinearRegression,536.1962441335512,378.55915953360346,0.7599050974610966,0.9048209438951355,1.2978644461730364
VIC_LSTM,520.1654534587262,385.3776778506844,0.7740468421899432,0.9267096369289898,1.2590618743748732
PNJ_LinearRegression,1355.5412946347524,910.0584744871645,0.82837198699356,0.9364116336186534,1.4036611719958494
PNJ_GRU,1424.3045527100576,923.2175281837038,0.8105178102699881,0.9430809819932005,1.4748654324652752
VNM_BiLSTM,968.4477686026418,744.9265037279338,0.9572181049367606,1.1036449171810832,1.4509652360418572
PNJ_LSTM,1649.4176124037424,1121.4253484944813,0.7458887308662422,1.1410359725095016,1.7079697004443264
HPG_LinearRegression,409.1871032673044,305.4248081928666,0.6835355459651509,1.1537882173327256,1.5490833843599463
VNM_LSTM,958.667066657089,762.9815406408289,0.9580778807660011,1.1591387657803125,1.436311416840476
FPT_LinearRegression,2218.80540978525,1664.8702331217303,0.9190292494772303,1.192499424415092,1.5963437614100697
PNJ_BiLSTM,1725.7125819970463,1182.7073825230223,0.7218368466513603,1.20867563862791,1.7869730379749476
VNM_GRU,975.5367746380723,802.4656687278537,0.9565894884514999,1.2240419501834652,1.461586254179306
TCB_LinearRegression,384.41020566628083,291.83696316644904,0.8995997817147563,1.2376190385268506,1.6164603395010775
VIC_BiLSTM,644.0447902967172,514.0915123813953,0.6536082438562609,1.2382030269755655,1.5589121412437266
FPT_BiLSTM,2364.363088348073,1778.9718544609352,0.9080571262270918,1.2854721980026518,1.7010668214289222
MWG_LinearRegression,1081.0645924166956,801.0767728728725,0.9369718722485204,1.2874751245566722,1.7235277779131764
FPT_LSTM,2443.484984779661,1827.8250931162681,0.9018005440046535,1.3185582212408569,1.7579919331140084
AGR_LinearRegression,322.66885845817575,232.35336997238974,0.8277652232691659,1.333750566770777,1.845195735298349
VIC_DecisionTree,818.9975837897941,573.5915492957765,0.4398547655268614,1.3685937493969829,1.982385846846115
VIC_RandomForest,729.4274148911829,573.0352782785944,0.5556762086345239,1.3911497590257056,1.765581012938575
VIC_GRU,682.7913592460272,576.6644239858487,0.6106757663445573,1.3932164376473313,1.6526983152438124
AGR_GRU,375.420874795795,268.105050188114,0.7668456214050333,1.5273433265180627,2.146860407989968
MWG_GRU,1243.8717073000128,958.2415019100807,0.9165584622479193,1.535320843795931,1.9830891278192146
VND_LinearRegression,290.566898275617,211.0574368170033,0.9334399840663904,1.535457987988556,2.0885047355303508
PNJ_RandomForest,2089.3872809890086,1552.4763112414237,0.5922438094096087,1.592032753917073,2.163557695508263
HPG_RandomForest,537.7139661485105,430.5212649687011,0.4535081430363962,1.6346939326305217,2.0356549946169853
FPT_GRU,2899.0119909124096,2303.8525294258407,0.8617739950759431,1.6483318263884434,2.085725807921985
PNJ_SVR_RBF,2238.262799812529,1633.6564821697027,0.5320657614771644,1.657514932013936,2.31771809332161
AGR_LSTM,360.0023501724317,291.55968544380346,0.7856036373538671,1.6700812077831917,2.058688912247963
VNG_GRU,199.92096048383695,143.7800241474057,0.6963962575774141,1.7298016668374656,2.410601899161173
PNJ_CNN,2431.3975380099914,1727.7597246254134,0.4478277013480263,1.7605307911091632,2.5177088527653555
NVL_LinearRegression,248.68194127128547,189.10059176186374,0.9418176674510227,1.7787286357410705,2.3188040935670036
VNM_Hybrid,1393.138940413988,1171.3364955981947,0.9114687745701955,1.7855494588503273,2.0872536826983716
PNJ_Hybrid,2385.537394308656,1762.2561454908625,0.4684610093483046,1.8022874223705676,2.4702207361653667
AGR_BiLSTM,439.13566616551356,327.98214681078605,0.6809900976442944,1.8577930737653698,2.511216180879243
VIC_Hybrid,955.1276170923134,798.5222981097072,0.23816975589432166,1.9388564339785035,2.311888957344751
HPG_GRU,663.8520127427905,518.6837638482126,0.1670410202174476,1.945153832571212,2.5131831243028673
VIC_CNN,962.5673115002255,805.4733912876928,0.2262554150250049,1.9518717228425204,2.329896757600839
VNG_LSTM,217.73769391396917,164.49719324756495,0.6398713281730228,1.968748922151297,2.6254320567373584
SSI_LinearRegression,1038.0065547904805,545.3353630011075,0.8852800526923363,1.9818531803257928,3.791853539314886
PNJ_KNN,2822.922951890405,1969.4553916129992,0.25567823326144956,2.010352498229887,2.9231328877901395
VNG_BiLSTM,224.35025192464113,169.20397067556658,0.6176654153820622,2.039969204161538,2.7051647914154113
PNJ_DecisionTree,2709.152458289024,2019.0140845070332,0.3144651122286053,2.0656180386741885,2.805323695979358
FPT_Hybrid,3612.6349525756846,2913.1802915382964,0.7853465408588594,2.0907348566266344,2.5991496340160474
VNM_CNN,1696.5393968683693,1375.5024046472588,0.8687088323008564,2.093188401868528,2.54181977204951
MWG_RandomForest,1654.3010876514054,1293.4050575738397,0.8524088792966781,2.1042906166926127,2.6374315629238287
MWG_BiLSTM,1656.0926697656819,1331.4709656205023,0.8520890284590272,2.1461080544672195,2.6402878599129522
SSI_RandomForest,1026.7993209973342,589.099328994255,0.8877439148430243,2.152590001146495,3.7509133458947694
HPG_CNN,764.9868791876901,584.208957632527,-0.10608635429045887,2.190576334671911,2.8960552625943636
SSI_GRU,1044.1362423638518,604.8313586106987,0.8839211523842648,2.2056328217803323,3.8142453801107985
HPG_BiLSTM,707.2193552067324,581.9366751809127,0.05465716321828917,2.205854861678377,2.677361391648831
VND_BiLSTM,386.49276422744856,303.27512994931305,0.882238351208444,2.213007907522013,2.7779901052995393
HPG_LSTM,763.8388111760479,596.6198120468465,-0.10276888699409903,2.2343410826584664,2.891708954837474
AGR_RandomForest,510.6869851226031,400.8686791170598,0.5685640592865476,2.281064365735513,2.920385473588371
HPG_DecisionTree,749.072196072968,616.5492957746486,-0.06054332879341118,2.3325057726380054,2.835806122326947
SSI_SVR_RBF,1061.9746825799198,677.0260541132557,0.8799209969689741,2.3660388716306544,3.8794094702188877
VNG_RandomForest,263.6733770535996,197.49332269889405,0.4718916618029103,2.400099087446659,3.1793141746887246
MWG_CNN,1949.4189282947195,1521.2793841896196,0.7950530416959869,2.4066169624554887,3.1079342504361853
MWG_LSTM,1859.04537884254,1502.1526925120731,0.8136149383075167,2.413224639089376,2.963852829250019
SSI_LSTM,1127.993640846226,695.0928282799356,0.8645272179772623,2.5425038746666955,4.120577716612577
VIC_KNN,1274.6486955839316,1085.5162687668064,-0.3568018161270765,2.6396167189445436,3.085290584294318
SSI_BiLSTM,1393.928730303723,740.8895933528682,0.7931193434857221,2.6701612390293947,5.092042593721153
TCB_GRU,722.6101064100418,626.086281152457,0.645225087776897,2.680231491963908,3.0386044925886444
VND_Hybrid,470.44186295415676,372.36731533798115,0.8255250572084916,2.6837693994075074,3.3813901872590737
AGR_SVR_RBF,598.8137627884607,488.5522823830752,0.40681482589493245,2.7690376254556797,3.4243422393315512
FPT_CNN,4556.93963547277,3864.7776372964063,0.6584641602998667,2.783496065576165,3.2785399414152776
TCB_BiLSTM,774.127275075609,670.8312048797906,0.5928358076773734,2.873733404099892,3.255236253982542
VNM_RandomForest,2426.2903890391817,1840.9983029235718,0.7314697796205922,2.8893452477720802,3.63516043009521
VNG_Hybrid,303.11798558024964,239.23702380158792,0.3020667745136255,2.9084458925595675,3.654928377401095
HPG_Hybrid,962.7678953731574,779.4791197214978,-0.7519603028562569,2.959362689025335,3.6448063436238867
VND_RandomForest,540.9096802780228,419.02691054803125,0.7693408698456533,3.094608620559989,3.887891000176111
VNG_DecisionTree,350.92279565545164,266.7375886524812,0.06456498450634951,3.234278998331307,4.231348006825784
MWG_Hybrid,2623.563783941561,2085.213691890253,0.6287945239499586,3.382271130866422,4.182714974173683
TCB_RandomForest,950.5764128771065,802.2436223898835,0.386069929044362,3.407837170830545,3.9972119585581187
VNM_DecisionTree,2902.039108267744,2247.887323943658,0.6158382386115685,3.5007338489247077,4.347945233851945
VNG_CNN,401.4936058984271,294.9817604732984,-0.22446881191060464,3.524003000374439,4.841119443091427
AGR_Hybrid,732.5112055340188,636.7177444765127,0.11236322577819369,3.677299875539815,4.188896811945741
VND_SVR_RBF,677.2666889297232,535.3057651644599,0.638389882211498,3.9087620995427903,4.867982882568368
VND_LSTM,624.9839365511269,539.9797102127299,0.6920651425587816,3.9590209059433947,4.492190675757239
VNG_SVR_RBF,387.15140987961155,326.0170542047155,-0.1385501156852429,3.9594027743978537,4.6681844748048285
SSI_Hybrid,1553.6242872782038,1072.3901490645142,0.7430014041893196,3.9840801919022333,5.675412862561869
VND_CNN,672.722890204346,551.6804979918998,0.6432257079655805,4.051174068519171,4.835323466745147
AGR_CNN,851.3428136484795,720.1320427320094,-0.1989903562380888,4.077257250463644,4.868440470293138
AGR_KNN,896.7457062741728,720.7020050923695,-0.33028701810461447,4.082621027126941,5.1280788631751015
VND_GRU,624.6143768845916,563.6230392653715,0.6924292052199499,4.083587666239427,4.48953439550577
NVL_BiLSTM,484.2120825079425,426.82959551220836,0.7794160675840652,4.086279085709746,4.514975849610138
AGR_DecisionTree,921.4769222882692,716.9014084507044,-0.4046743994252271,4.08715261069254,5.269505384891538
HPG_SVR_RBF,1205.8307628953385,1089.3448007529369,-1.7482344568923507,4.087414798078981,4.564983559442749
FPT_RandomForest,7862.338020289569,5918.087289866877,-0.016700776082661406,4.124218605327967,5.656644874505339
VNM_KNN,3250.575766167686,2683.521940446282,0.5180209082147005,4.14942111624838,4.870136094830145
MWG_SVR_RBF,3135.493206247367,2639.394976566155,0.46979618518592203,4.169795675512327,4.998877658498295
VNG_KNN,421.49652706307154,351.86180893849155,-0.3495173195533767,4.279932412409593,5.0823101598205085
VNG_LinearRegression,785.2913747190539,358.7541150433425,-3.684379979776251,4.318573659413158,9.46886646958504
FPT_DecisionTree,7829.732965424757,6331.690140845067,-0.00828576035460138,4.481997093522447,5.633186812029769
